Krankenhaus,Adresse,n_Betten,url
"Evangelisches Krankenhaus, Betriebsstätte Selters","Waldstr. 5, 56242 Selters",103,http://www.khds.de
Franziskus Krankenhaus Linz,"Magdalena Daemen Straße 20, 53545 Linz",176,http://www.verbundkrankenhaus-linz-remagen.de
Krankenhaus Maria Stern Remagen,"Am Anger 1, 53424 Remagen",150,http://www.verbundkrankenhaus-linz-remagen.de
DRK Krankenhaus Neuwied,"Marktstraße 104, 56564 Neuwied",304,http://www.drk-kh-neuwied.de
Loreley-Kliniken Oberwesel,"Hospitalgasse 11, 55430 Oberwesel",110,https://www.loreley-kliniken.de
Loreley-Kliniken St. Goar,"Gründelbach 38, 56329 St. Goar",85,https://www.loreley-kliniken.de
Hunsrück Klinik kreuznacher diakonie,"Holzbacher Straße 1, 55469 Simmern",266,http://www.kreuznacherdiakonie.de/krankenhaeuser/hunsrueck-klinik-simmern/
Marienkrankenhaus Nassau,"Neuzebachweg 2, 56377 Nassau",35,https://www.katholische-kliniken-lahn.de/
Hufeland-Klinik,"Taunusallee 5 5, 56130 Bad Ems",105,http://www.katholische-klinken-lahn.de
Fachklinik Katzenelnbogen,"Aarstraße 17, 56368 Katzenelnbogen",95,http://www.fachklinik-katzenelnbogen.de
St. Elisabeth-Krankenhaus,"Ostallee 3, 56112 Lahnstein",220,http://www.krankenhaus-lahnstein.de
Medizinisches Zentrum Lahnhöhe am Mittelrhein,"Am Kurpark 1, 56112 Lahnstein",302,https://www.lahnhoehe.de/
Herz-Jesu-Krankenhaus Dernbach,"Südring 8, 56428 Dernbach",238,http://www.krankenhaus-dernbach.de/
Paracelsus-Klinik Bad Ems,"Taunusallee 7-11, 56130 Bad Ems",140,https://www.paracelsus-kliniken.de/bad-ems.html
Capio Mosel-Eifel-Klinik,"Kurfürstenstraße 40, 56864 Bad Bertrich",99,http://www.venen.de
VENEN-CLINIC,"Hochstr. 23, 53474 Bad Neuenahr-Ahrweiler",42,http://www.venen-clinic.de
Klinik für GefässChirurgie und GefässMedizin im Kreis Ahrweiler,"Lindenstraße 7, 53474 Bad Neuenahr",50,http://www.gefaesszentrum-dr-bauer.de
Ahrtal-Klinik,"Hauptstr. 166, 53489 Sinzig-Bad Bodendorf",30,http://www.ahrtal-klinik.de
DRK Fachklinik Bad Neuenahr,"Lindenstraße 3-4, 53474 Bad Neuenahr-Ahrweiler",60,http://www-drk-fk-badneuenahr.de
Diakonie Krankenhaus kreuznacher diakonie,"Ringstraße 64, 55543 Bad Kreuznach",392,https://www.kreuznacherdiakonie.de/krankenhaeuser/diakonie-krankenhaus-bad-kreuznach/
Diakonie Krankenhaus Standort Kirn,"Jahnstraße 11, 55606 Kirn",109,https://www.kreuznacherdiakonie.de/krankenhaeuser/diakonie-krankenhaus-kirn/
Marienhaus Klinikum St. Elisabeth Neuwied,"Friedrich-Ebert-Straße 59, 56564 Neuwied",429,http://www.marienhaus-klinikum.de
Marienhaus Klinikum St. Josef Bendorf,"Margaretha-Flesch-Platz 1, 56170 Bendorf",126,http://www.marienhaus-klinikum.de
Marienhaus Klinikum St. Antonius Waldbreitbach,"Margaretha-Flesch-Straße 4, 56588 Waldbreitbach",144,http://www.marienhaus-klinikum.de
Brüderhaus Koblenz,"Kardinal-Krementz-Straße 1-5, 56073 Koblenz",201,http://kk-km.de
Marienhof Koblenz,"Rudolf-Virchow-Straße 7-9, 56073 Koblenz",294,http://kk-km.de
Brüderkrankenhaus Montabaur,"Koblenzer Straße 11-13, 56410 Montabaur",164,http://kk-km.de
Gesundheitszentrum Glantal,"Liebfrauenberg 32, 55590 Meisenheim",107,http://www.gesundheitszentrum-glantal.de
Geriatrische Fachklinik Rheinhessen-Nahe Akutgeriatrie,"Kaiser-Wilhelm-Straße 9-11, 55543 Bad Kreuznach",35,http://www.geriatrische-fachklinik-rheinhessen-nahe.de/
BundeswehrZentralkrankenhaus Koblenz,"Rübenacher Straße 170, 56072 Koblenz",506,https://koblenz.bwkrankenhaus.de
DRK Kamillus Klinik,"Hospitalstraße 6, 53567 Asbach",159,http://www.drk-kamillus-klinik.de
Klinikum Mutterhaus der Borromäerinnen - Standort Mitte,"Feldstraße 16, 54290 Trier",695,http://www.mutterhaus.de/
Klinikum Mutterhaus der Borromäerinnen gGmbH - Standort Nord,"Theobaldstraße 12, 54292 Trier",135,http://www.mutterhaus.de/
Klinikum Mutterhaus der Borromäerinnen gGmbH - Standort Ehrang,"August-Antz-Straße 22, 54293 Trier",224,http://www.mutterhaus.de/
St. Joseph Krankenhaus Prüm,"Kalvarienberg 4, 54595 Prüm",147,http://www.krankenhaus-pruem.de
Krankenhaus Maria Hilf GmbH,"Maria-Hilf-Strasse 2, 54550 Daun",232,http://www.krankenhaus-maria-hilf.de
St. Josef-Krankenhaus Hermeskeil,"Koblenzer Straße 23, 54411 Hermeskeil",181,http://www.krankenhaus-hermeskeil.de
Kreiskrankenhaus St. Franziskus Saarburg GmbH,"Graf-Siegfried-Str. 115, 54439 Saarburg",209,https://www.kh-saarburg.de
Marienhaus Klinikum Eifel - Standort Bitburg,"Krankenhausstraße 1, 54634 Bitburg",272,http://www.marienhaus-klinikum-eifel.de
Marienhaus Klinikum Eifel - Standort St. Elisabeth Gerolstein,"Aloys-Schneider-Straße 37, 54568 Gerolstein",179,http://www.marienhaus-klinikum-eifel.de
St. Elisabeth Krankenhaus Wittlich,"Koblenzer Straße 91, 54516 Wittlich",390,https://www.verbund-krankenhaus.de
Cusanus Krankenhaus Bernkastel-Kues,"Karl-Binz-Weg 12, 54470 Bernkastel-Kues",121,https://www.verbund-krankenhaus.de
Krankenhaus der Barmherzigen Brüder Trier,"Nordallee 1, 54292 Trier",632,http://www.bk-trier.de
Stadtklinik Frankenthal,"Elsa-Brändström-Straße 1, 67227 Frankenthal",315,https://www.stadklinik-ft.de
Westpfalz-Klinikum GmbH - Standort I Kaiserslautern,"Hellmut-Hartert-Straße  1, 67655 Kaiserslautern",924,http://www.westpfalz-klinikum.de
Westpfalz-Klinikum GmbH - Standort II Kusel,"Im Flur 1, 66869 Kusel",244,http://www.westpfalz-klinikum.de
Lutrina Klinik Kaiserslautern,"Karl-Marx-Str. 33, 67655 Kaiserslautern",32,http://www.lutrinaklinik.de
Vinzentius-Krankenhaus Landau,"Cornichonstraße 4, 76829 Landau",320,http://www.vinzentius.de
Klinikum der Stadt Ludwigshafen am Rhein gGmbH,"Bremserstr. 79, 67063 Ludwigshafen",963,http://www.klilu.de
St. Marien- und St. Annastiftskrankenhaus,"Salzburger Straße 15, 67067 Ludwigshafen",484,https://www.st-marienkrankenhaus.de/
Krankenhaus Zum Guten Hirten,"Semmelweisstrasse 7, 67071 Ludwigshafen",174,http://www.guterhirte-ludwigshafen.de
BG Klinik Ludwigshafen,"Ludwig-Guttmann-Straße 13, 67071 Ludwighafen",327,http://www.bgu-ludwigshafen.de/
Universitätsmedizin der Johannes Gutenberg-Universität Mainz,"Langenbeckstraße 1, 55131 Mainz",1.662,http://www.unimedizin-mainz.de
Katholisches Klinikum Mainz,"An der Goldgrube 11, 55131 Mainz",624,http://www.kkm-mainz.de/
Marienhaus Klinikum Hetzelstift,"Stiftstraße 10, 67434 Neustadt an der Weinstraße",364,http://www.hetzelstift.de
Städtisches Krankenhaus Pirmasens gGmbH,"Pettenkoferstraße 22, 66955 Pirmasens",399,http://www.kh-pirmasens.de
Diakonissen-Stiftungs-Krankenhaus Speyer,"Paul-Egell-Straße 33, 67346 Speyer",484,http://www.diakonissen.de/krankenhaeuser/diakonissen-stiftungs-krankenhaus-speyer/home.html
Sankt Vincentius Krankenhaus,"Holzstraße 4a, 67346 Speyer",219,http://www.vincentius-speyer.de
Klinikum Worms gGmbH,"Gabriel-von-Seidl-Str. 81, 67550 Worms",696,http://www.klinikum-worms.de
DRK Krankenhaus Alzey,"Kreuznacher Straße 7-9, 55232 Alzey",145,http://www.drk-kh-alzey.de
Rheinhessen-Fachklinik Alzey,"Dautenheimer Landstraße 66, 55232 Alzey",442,http://www.rheinhessen-fachklinik-alzey.de
Evangelisches Krankenhaus Bad Dürkheim,"Dr. Kaufmann-Str. 2, 67098 Bad Dürkheim",215,https://www.diakonissen.de/evangelisches-krankenhaus-bad-duerkheim/home/
Kreiskrankenhaus Grünstadt,"Westring 55, 67269 Grünstadt",194,http://www.krankenhausgruenstadt.de
Westpfalz-Klinikum GmbH - Standort III Kirchheimbolanden,"Dannenfelser Straße 36, 67292 Kirchheimbolanden",105,http://www.westpfalz-klinikum.de
Westpfalz-Klinikum GmbH - Standort IV Rockenhausen,"Krankenhausstraße 10, 67806 Rockenhausen",98,http://www.westpfalz-klinikum.de
Nardini Klinikum St. Johannis,"Nardinistr. 30, 66849 Landstuhl",259,http://www.nardiniklinikum.de
Nardini Klinikum St. Elisabeth Zweibrücken,"Kaiserstrasse 14, 66482 Zweibrücken",286,http://www.nardiniklinikum.de
Privatklinik Bad Gleisweiler,"Badstraße 28, 76835 Gleisweiler",100,http://www.privatklinik-bad-gleisweiler.de/
Pfalzklinikum,"Weinstraße 100, 76889 Klingenmünster",682,http://www.pfalzklinikum.de
Heilig-Geist-Hospital Bingen gGmbH,"Kapuzinerstr. 15-17, 55411 Bingen",173,http://www.heilig-geist-hospital.de/
St. Elisabeth-Krankenhaus Rodalben,"Kirchbergstraße 14, 66976 Rodalben",155,http://www.krankenhaus-rodalben.de
DRK Schmerz-Zentrum Mainz,"Auf der Steig 16, 55131 Mainz",104,http://www.drk-schmerz-zentrum.de
Felsenland Klinik Dahn,"Ingbert-Naab-Str. 6-8, 66994 Dahn",60,http://www.felsenlandklinik.com
BioMed-Klinik Betriebs-GmbH,"Tischbergerstr. 5+8, 76887 Bad Bergzabern",100,http://www.BioMed-Klinik.de
Gensingen,"Alzeyer Str. 23, 55457 Gensingen",32,http://www.bandscheiben.de
Asklepios Südpfalzklinik Kandel,"Luitpoldstrasse 14, 76870 Kandel",188,http://www.asklepios.com/kandel
Asklepios Südpfalzklinik Germersheim,"An Fronte Karl 2, 76726 Germersheim",128,http://www.asklepios.com/germersheim
Klinikum Landau-Südliche Weinstraße GmbH - Klinik Landau,"Bodelschwinghstraße 11, 76829 Landau",205,https://www.klinikum-ld-suew.de/
Klinikum Landau-Südliche Weinstraße GmbH - Klinik Annweiler,"Georg-Staab-Straße 3, 76855 Annweiler",69,https://www.klinikum-ld-suew.de/
Klinikum Landau-Südliche Weinstraße GmbH - Klinik Bad Bergzabern,"Danziger Straße 25, 76887 Bad Bergzabern",171,https://www.klinikum-ld-suew.de/
Sana Klinik Bethesda Stuttgart gGmbH,"Hohenheimer Straße 21, 70184 Stuttgart",150,https://www.bethesda-stuttgart.de
Sankt Rochus Kliniken,"Sankt-Rochus-Allee 1-11, 76669 Bad Schönborn",18,https://www.sankt-rochus-kliniken.de
Orthopädische Klinik Markgröningen,"Kurt-Lindemann-Weg 10, 71706 Markgröningen",200,https://www.rkh-kliniken.de/
Diakonie-Klinikum Stuttgart,"Rosenbergstraße 38, 70176 Stuttgart",400,https://www.diakonie-klinikum.de/
Marienhospital Stuttgart,"Böheimstraße 37, 70199 Stuttgart",761,http://www.marienhospital-stuttgart.de
Charlottenklinik für Augenheilkunde,"Falkertstraße 50, 70176 Stuttgart",40,https://www.charlottenklinik.de/
Sportklinik Stuttgart GmbH,"Taubenheimstraße 8, 70372 Stuttgart",75,http://www.sportklinik-stuttgart.de
Robert-Bosch-Krankenhaus,"Auerbachstraße 110, 70376 Stuttgart",677,http://www.rbk.de/
Klinik Schillerhöhe,"Solitudestraße 18, 70839 Gerlingen",212,https://www.rbk.de/standorte/klinik-schillerhoehe.html
Klinik Charlottenhaus,"Gerokstraße 31, 70184 Stuttgart",40,https://www.rbk.de/standorte/klinik-charlottenhaus.html
Furtbachkrankenhaus Stuttgart,"Furtbachstraße 6, 70178 Stuttgart",124,http://www.fbkh.org/
Sonnenberg Klinik,"Christian-Belser-Straße 79, 70597 Stuttgart",102,http://www.sonnenbergklinik.de
Krankenhaus Herrenberg,"Marienstraße 25, 71083 Herrenberg",150,http://www.klinikverbund-suedwest.de/krankenhaus-herrenberg/startseite.html
Krankenhaus Leonberg,"Rutesheimer Straße 50, 71229 Leonberg",239,http://www.klinikverbund-suedwest.de/krankenhaus-leonberg/startseite.html
Klinikum Esslingen GmbH,"Hirschlandstraße 97, 73730 Esslingen am Neckar",655,http://www.klinikum-esslingen.de
medius KLINIK OSTFILDERN-RUIT,"Hedelfinger Str. 166, 73760 Ostfildern",280,http://www.medius-kliniken.de
Die Filderklinik gGmbH,"Im Haberschlai 7, 70794 Filderstadt",225,http://www.filderklinik.de/
Klinik am Eichert,"Eichertstraße 3, 73035 Göppingen",625,http://www.alb-fils-kliniken.de
Helfenstein Klinik,"Eybstraße 16, 73312 Geislingen",150,http://www.alb-fils-kliniken.de
Klinikum Christophsbad Göppingen,"Faurndauer Straße 6-28, 73035 Göppingen",491,http://www.christophsbad.de
Psychiatrische Tagesklinik Geislingen,"Schillerstraße 31, 73312 Geislingen",18,http://www.christophsbad.de
Krankenhaus Bietigheim,"Riedstr. 12, 74321 Bietigheim-Bissingen",404,http://www.rkh-kliniken.de
Tagesklinik Vaihingen,"Franckstraße 45, 71665 Vaihingen an der Enz",12,https://www.rkh-kliniken.de/kliniken-zentren/fachbereiche/bietigheim-vaihingen/internistisch-diagnostische-tagesklinik-fuer-geriatrische-patienten/
Klinikum Ludwigsburg,"Posilipostraße 4, 71640 Ludwigsburg",1.005,https://www.rkh-kliniken.de/kliniken-zentren/standorte/klinikum-ludwigsburg/
Krankenhaus Marbach,"Im Bannmüller 8, 71672 Marbach",78,https://www.rkh-kliniken.de/kliniken-zentren/standorte/krankenhaus-marbach/
Rems-Murr-Klinik Schorndorf,"Schlichtener Straße 105, 73614 Schorndorf",248,https://www.rems-murr-kliniken.de
Rems-Murr-Klinikum Winnenden,"Am Jakobsweg 1, 71364 Winnenden",667,http://www.rems-murr-kliniken.de
Klinikum Schloß Winnenden Zentrum für Psychiatrie,"Schloßstr. 50, 71364 Winnenden",572,http://www.zfp-winnenden.de/
SLK-Kliniken Heilbronn GmbH - Klinikum am Gesundbrunnen,"Am Gesundbrunnen 20-26, 74078 Heilbronn",969,http://www.slk-kliniken.de/home/
Urologische Klinik am Lerchenberg,"Lerchenstr. 81, 74074 Heilbronn",17,http://www.klinik-lerchenberg.de
Klinik am Rathenauplatz,"Happelstraße 8, 74074 Heilbronn",12,http://www.chirurgie-hn.de
Vulpius Klinik GmbH,"Vulpiusstraße 29, 74906 Bad Rappenau",117,http://www.vulpiusklinik.de
Lungenklinik Löwenstein,"Geißhölzle 62, 74245 Löwenstein",205,http://www.klinik-loewenstein.de/home/
Klinikum am Weissenhof,"Weissenhof _, 74189 Weinsberg",600,http://www.klinikum-weissenhof.de/
Klinikum am Plattenwald,"Am Plattenwald 1, 74177 Bad Friedrichshall",390,http://www.slk-kliniken.de/home/
Hohenloher Krankenhaus Öhringen,"Kastellstrasse 5, 74613 Öhringen",157,http://www.hohenloher-krankenhaus.net
Hohenloher Krankenhaus Künzelsau,"Stettenstrasse 32, 74653 Künzelsau",126,http://www.hohenloher-krankenhaus.net
Landkreis Schwäbisch Hall Klinikum gGmbH,"Gartenstr. 21, 74564 Crailsheim",165,http://www.klinikum-crailsheim.de
Diakonie-Klinikum Schwäbisch Hall gGmbH,"Diakoniestraße 10, 74523 Schwäbisch Hall",492,http://www.dasdiak-klinikum.de
Krankenhaus Tauberbischofsheim,"Albert-Schweitzer-Straße 37, 97941 Tauberbischofsheim",241,http://www.khtbb.de/khtbb/index.php
Kliniken Landkreis Heidenheim gGmbH,"Schloßhaustraße 100, 89522 Heidenheim",568,http://www.kliniken-heidenheim.de
"Kliniken Ostalb, Ostalb-Klinikum Aalen","Im Kälblesrain 1, 73430 Aalen",399,http://www.ostalb-klinikum.de
St. Anna-Virngrund-Klinik,"Dalkinger Straße 8-12, 73479 Ellwangen",242,http://www.klinik-ellwangen.de
Stauferklinikum Schwäbisch-Gmünd,"Wetzgauer Str. 85, 73557 Mutlangen",401,http://www.stauferklinikum.de
Fachklinik Dres. Denzel,"Gutenbergstraße 51, 74074 Heilbronn",31,http://www.klinik-denzel.de
"Klinikum für Psychiatrie, Psychotherapie und Psychosomatik des Rudolf-Sophien-Stifts","Leonberger Straße 220, 70199 Stuttgart",29,http://www.rrss.de
Diabetes Klinik,"Theodor-Klotzbücher-Str. 12, 97980 Bad Mergentheim",155,http://www.diabetes-zentrum.de
Sana Herzchirurgie Stuttgart GmbH,"Herdweg 2, 70174 Stuttgart",66,http://www.sana.de/herzchirurgie-stuttgart
Psychotherapeutisches Zentrum Kitzberg-Klinik GmbH &amp; Co.KG,"Erlenbachweg 22/24, 97980 Bad Mergentheim",43,http://www.ptz.de/
Psychiatrie Schwäbisch Hall gGmbH,"Ringstr. 1, 74523 Schwäbisch Hall",50,http://www.zfpg-sha.de/
medius KLINIK KIRCHHEIM,"Eugenstr. 3, 73230 Kirchheim",487,http://www.medius-kliniken.de
medius KLINIK NÜRTINGEN,"Auf dem Säer 1, 72622 Nürtingen",331,http://www.medius-kliniken.de
Kliniken Schmieder Stuttgart-Gerlingen,"Solitudestrasse 20, 70839 Gerlingen",52,http://www.kliniken-schmieder.de
Klinikum Stuttgart - Katharinenhospital (KH) und Olgahospital / Frauenklinik (OH),"Kriegsbergstraße 60,62, 70174 Stuttgart",1.370,http://www.klinikum-stuttgart.de/
Klinikum Stuttgart - Krankenhaus Bad Cannstatt,"Prießnitzweg 24, 70374 Stuttgart",828,http://www.klinikum-stuttgart.de/
Krankenhaus vom Roten Kreuz Bad Cannstatt GmbH,"Badstraße 35-37, 70372 Stuttgart",102,https://www.rkk-stuttgart.de
Karl-Olga-Krankenhaus GmbH,"Hackstraße 61, 70190 Stuttgart",355,https://www.karl-olga-krankenhaus.de
Kliniken Sindelfingen,"Arthur-Gruber-Straße 70, 71065 Sindelfingen",710,http://www.klinikverbund-suedwest.de/klinikum-sindelfingen-boeblingen/startseite.html
Kliniken Böblingen,"Bunsenstraße 120, 71032 Böblingen",710,http://www.klinikverbund-suedwest.de/klinikum-sindelfingen-boeblingen/startseite.html
Tagesklinik Bernsteinstraße,"Bernsteinstraße 108-112, 70619 Stuttgart",20,http://www.kjp-bernsteinstrasse.de
Caritas-Krankenhaus Bad Mergentheim,"Uhlandstraße 7, 97980 Bad Mergentheim",434,http://www.ckbm.de/ck_badmergentheim/index.php
St. Anna-Klinik,"Obere Waiblinger Str. 101, 70374 Stuttgart",85,http://www.st-anna-klinik.de
Rotkreuzklinik Wertheim,"Rotkreuzstraße 2, 97877 Wertheim",170,http://www.rotkreuzklinik-wertheim.de
Waiblinger Zentralklinik,"Alter Postplatz 2, 71332 Waiblingen",15,http://wn-zentralklinik.de
Klinikum Mittelbaden Baden-Baden Balg,"Balger Straße 50, 76532 Baden-Baden",380,http://www.klinikum-mittelbaden.de
Klinikum Mittelbaden Baden-Baden Ebersteinburg,"Dr.-Rumpf-Weg 7, 76530 Baden-Baden",60,http://www.klinikum-mittelbaden.de
Klinikum Mittelbaden Bühl,"Robert-Koch-Straße 70, 77815 Bühl",164,http://www.klinikum-mittelbaden.de
ACURA Kliniken Baden-Baden GmbH,"Rotenbachtalstrasse 5, 76530 Baden-Baden",170,http://www.acura-kliniken.com
MEDIAN Klinik Gunzenbachhof Baden-Baden,"Gunzenbachstraße 6, 76530 Baden-Baden",68,http://www.median-kliniken.de
Städtisches Klinikum Karlsruhe,"Moltkestraße 90, 76133 Karlsruhe",1.538,http://www.klinikum-karlsruhe.de
St. Vincentius Kliniken Karlsruhe,"Steinhäuserstraße 18, 76135 Karlsruhe",765,http://www.vidia-kliniken.de/
Diakonissenkrankenhaus Karlsruhe-Rüppurr,"Diakonissenstraße 28, 76199 Karlsruhe",414,http://www.vidia-kliniken.de/
Fürst-Stirum-Klinik Bruchsal,"Gutleutstraße 1-14, 76646 Bruchsal",364,https://www.rkh-kliniken.de/kliniken-zentren/standorte/fuerst-stirum-klinik-bruchsal/
Rechbergklinik Bretten,"Edisonstraße 10, 75015 Bretten",144,https://www.rkh-kliniken.de/kliniken-zentren/standorte/rechbergklinik-bretten/
SRH Klinikum Karlsbad-Langensteinbach GmbH,"Guttmannstraße 1, 76307 Karlsbad",422,http://www.klinikum-karlsbad.de
Klinikum Mittelbaden Rastatt,"Engelstraße 39, 76437 Rastatt",260,http://www.klinikum-mittelbaden.de
Klinikum Mittelbaden Forbach,"Friedrichstraße 17, 76596 Forbach",60,http://www.klinikum-mittelbaden.de
Universitätsklinikum Heidelberg,"Im Neuenheimer Feld 672, 69120 Heidelberg",1.988,https://www.klinikum.uni-heidelberg.de/
"Krankenhaus St. Vincentius der Evang. Stadtmission Heidelberg gGmbH, Klinik für Innere Medizin","Untere Neckarstraße 1-5, 69117 Heidelberg",84,http://www.vincentius-hd.de
St. Josefskrankenhaus Heidelberg GmbH,"Landhausstraße 25, 69115 Heidelberg",249,http://www.st.josefskrankenhaus.de
Krankenhaus Salem derEvang. Stadtmission Heidelberg gGmbH,"Zeppelinstraße 11-33, 69121 Heidelberg",238,http://www.krankenhaus-salem.de
Klinik Sankt Elisabeth gGmbH,"Max-Reger-Straße 5 - 7, 69121 Heidelberg",50,http://www.sankt-elisabeth.de
SRH Kurpfalzkrankenhaus Heidelberg GmbH,"Bonhoefferstraße 5, 69123 Heidelberg",94,http://www.kurpfalzkrankenhaus.de/
Universitätsklinikum Mannheim GmbH,"Theodor-Kutzer-Ufer 1-3, 68167 Mannheim",1.352,http://www.umm.de
Diakonissenkrankenhaus Mannheim,"Speyerer Straße 91-93, 68163 Mannheim",407,http://www.diakonissen.de/krankenhaeuser/mannheim/home.html
Theresienkrankenhaus Mannheim,"Bassermannstraße 1, 68165 Mannheim",525,http://www.theresienkrankenhaus.de
St. Hedwig-Klinik,"A2 3-7, 68159 Mannheim",55,http://www.theresienkrankenhaus.de
Zentralinstitut für Seelische Gesundheit (ZI),"Quadrat J5 1, 68159 Mannheim",349,http://www.zi-mannheim.de/
Neckar-Odenwald-Kliniken gGmbH,"Dr. Konrad-Adenauer-Straße 37, 74722 Buchen",195,http://www.neckar-odenwald-kliniken.de
Krankenhaus Hardheim,"Wertheimer Straße 95, 74736 Hardheim",51,http://www.khv-ha-wa.de/
Neckar-Odenwald-Kliniken gGmbH,"Knopfweg 1, 74821 Mosbach",182,http://www.neckar-odenwald-kliniken.de
GRN Gesundheitszentren Rhein-Neckar gGmbH Kreiskrankenhaus Eberbach,"Scheuerbergstraße 3, 69412 Eberbach",132,http://www.grn.de
GRN-Klinik Schwetzingen,"Bodelschwinghstraße 10, 68723 Schwetzingen",295,http://www.grn.de
GRN-Klinik Sinsheim,"Alte Waibstadter Straße 2, 74889 Sinsheim",225,http://www.grn.de
Psychiatrisches Zentrum Nordbaden,"Heidelberger Straße 1a, 69168 Wiesloch",793,https://www.pzn-wiesloch.de/
Helios Klinikum Pforzheim GmbH,"Kanzlerstraße 2-6, 75175 Pforzheim",500,http://www.helios-gesundheit.de/pforzheim
Siloah St. Trudpert Klinikum,"Wilferdinger Straße 67, 75179 Pforzheim",499,https://www.siloah.de/
Centralklinik GmbH und Co. KG,"Zerrennerstrasse 22-24, 75172 Pforzheim",50,http://www.centralklinik.de
Paracelsus Krankenhaus,"Burghaldenweg 60, 75378 Bad Liebenzell",65,http://www.paracelsus-krankenhaus.de
Zentrum für Psychiatrie Calw - Klinikum Nordschwarzwald,"Im Lützenhardter Hof 1, 75365 Calw-Hirsau",486,http://www.kn-calw.de
"Tagesklinik für Psychiatrie und Psychotherapie, Haus am Maienplatz","Waldburgstrasse 1, 71032 Böblingen",40,https://www.kn-calw.de/psychiatrische-tagesklinik-boeblingen
Dr. Römer Kliniken - Akutklinik,"Altburger Weg 2, 75365 Calw-Hirsau",48,http://www.roemerklinik.de
Kliniken Nagold,"Röntgenstraße 20, 72202 Nagold",227,http://www.klinikverbund-suedwest.de/kreisklinikum-calw-nagold/startseite.html
Kreiskliniken Calw,"Eduard-Conz-Straße 6, 75365 Calw",199,http://www.klinikverbund-suedwest.de/kreisklinikum-calw-nagold/startseite.html
Rommel-Klinik GmbH,"Bätznerstr. 96-98, 75323 Bad Wildbad",70,http://www.rommel-klinik.de
Krankenhaus Mühlacker,"Hermann-Hesse-Straße 34, 75417 Mühlacker",170,https://www.rkh-kliniken.de/kliniken-zentren/standorte/krankenhaus-muehlacker/
Krankenhaus Neuenbürg,"Marxzeller Straße 46, 75305 Neuenbürg",82,https://www.rkh-kliniken.de/kliniken-zentren/standorte/krankenhaus-neuenbuerg/
Klinik Öschelbronn,"Am Eichhof 30, 75223 Niefern Öschelbronn",66,http://www.klinik-oeschelbronn.de
Neurologische Klinik Selzer GmbH,"Murgtalstraße 656, 72270 Baiersbronn",115,http://www.selzer.de
Krankenhaus Freudenstadt,"Karl-von-Hahn-Straße 120, 72250 Freudenstadt",340,http://www.klf-web.de
Nierenzentrum Heidelberg e.V.,"Im Neuenheimer Feld  162, 69120 Heidelberg",53,http://www.nierenzentrum-heidelberg.com
Klinik für Kinderneurologie und Sozialpädiatrie Kinderzentrum Maulbronn gGmbH,"Knittlinger Steige 21, 75433 Maulbronn",42,http://www.kize.de
GRN-Klinik Weinheim,"Röntgenstraße 1, 69469 Weinheim",220,http://www.grn.de
HELIOS Klinik für Herzchirurgie Karlsruhe,"Franz-Lust-Straße 30, 76185 Karlsruhe",89,https://www.helios-gesundheit.de/kliniken/karlsruhe-herzchirurgie/
Kinderklinik Schömberg gGmbH,"Römerweg 7, 75328 Schömberg",62,http://www.kiklisch.de/
Kliniken Schmieder Heidelberg,"Speyererhof 1, 69117 Heidelberg",77,http://www.kliniken-schmieder.de
ARCUS Klinik,"Rastatter Str. 17-19, 75179 Pforzheim",50,http://www.arcus-klinik.de
Bad Wildbad,"König-Karl-Str. 5, 75323 Bad Wildbad",140,https://www.sana-wildbad.de
AGAPLESION BETHANIEN KRANKENHAUS HEIDELBERG,"Rohrbacher Straße 149, 69126 Heidelberg",105,http://www.bethanien-heidelberg.de/Start.381.0.html
Diakonie-Klinik Mosbach,"Neckarburkener Straße 6, 74821 Mosbach",104,http://www.diakonie-klinik-mosbach.de
MediClin Reha Zentrum Gernsbach,"Casimir-Katz-Straße 22, 76593 Gernsbach",27,http://www.reha-zentrum-gernsbach.de
Ev. Diakoniekrankenhaus,"Wirthstraße 11, 79110 Freiburg",175,http://www.diakoniekrankenhaus.de
Loretto-Krankenhaus (RkK) Freiburg,"Mercystraße 6 - 14, 79100 Freiburg",206,http://www.rkk-klinikum.de
St Josefskrankenhaus (RkK) Freiburg,"Sautierstr. 1, 79104 Freiburg",282,http://www.rkk-klinikum.de
Klinik Dr. Becker GmbH,"Staufener Straße 18, 79189 Bad Krozingen",30,http://www.beckerklinik.de
AMEOS Klinikum Kaiserstuhl,"Brunngasse 1, 79235 Vogtsburg-Bischoffingen",55,http://www.ameos.eu
HELIOS Rosmann Klinik Breisach,"Zeppelinstraße  37, 79206 Breisach am Rhein",123,https://www.helios-gesundheit.de/kliniken/breisach/
Friedrich-Husemann-Klinik,"Friedrich-Husemann-Weg 8, 79256 Buchenbach",103,https://www.friedrich-husemann-klinik.de
HELIOS Klinik Titisee-Neustadt,"Jostalstraße 12, 79822 Titisee-Neustadt",151,http://www.helios-gesundheit.de/titisee
BDH-Klinik Elzach gGmbH,"Am Tannwald 1, 79215 Elzach",190,http://www.bdh-klinik-elzach.de/
Kreiskrankenhaus Emmendingen,"Gartenstraße 44, 79312 Emmendingen",263,http://www.krankenhaus-emmendingen.de
Zentrum für Psychiatrie Emmendingen,"Neubronnstrasse 25, 79312 Emmendingen",580,https://www.zfp-emmendingen.de
